2022-09-14 12:21:48,040 135047 [INFO] Logs and models will be save in log/leaper.
2022-09-14 12:27:26,136 135612 [INFO] Logs and models will be save in log/leaper.
2022-09-14 12:47:09,797 135612 [INFO] Iter=57, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:47:11,789 135612 [INFO] Iter=58, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:47:12,965 135612 [INFO] Iter=59, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:47:16,043 135612 [INFO] Iter=60, max=10.00, avg=10.00, min=10.00, std=0.00
2022-09-14 12:47:18,450 135612 [INFO] Iter=61, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:47:25,328 135612 [INFO] Iter=62, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:47:31,237 135612 [INFO] Iter=63, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:47:45,069 135612 [INFO] Iter=64, max=10.00, avg=10.00, min=10.00, std=0.00
2022-09-14 12:47:47,153 135612 [INFO] Iter=65, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:47:49,086 135612 [INFO] Iter=66, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:47:50,234 135612 [INFO] Iter=67, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:47:51,820 135612 [INFO] Iter=68, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:47:58,581 135612 [INFO] Iter=69, max=10.00, avg=9.90, min=0.00, std=0.99
2022-09-14 12:48:02,227 135612 [INFO] Iter=70, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:48:03,474 135612 [INFO] Iter=71, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:48:15,656 135612 [INFO] Iter=72, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:48:18,760 135612 [INFO] Iter=73, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:48:24,964 135612 [INFO] Iter=74, max=10.00, avg=10.00, min=10.00, std=0.00
2022-09-14 12:48:27,979 135612 [INFO] Iter=75, max=10.00, avg=10.00, min=10.00, std=0.00
2022-09-14 12:48:30,935 135612 [INFO] Iter=76, max=10.00, avg=10.00, min=10.00, std=0.00
2022-09-14 12:48:35,302 135612 [INFO] Iter=77, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:48:48,141 135612 [INFO] Iter=78, max=10.00, avg=9.60, min=0.00, std=1.96
2022-09-14 12:49:01,928 135612 [INFO] Iter=79, max=10.00, avg=9.50, min=0.00, std=2.18
2022-09-14 12:49:20,039 135612 [INFO] Iter=80, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:49:25,773 135612 [INFO] Iter=81, max=10.00, avg=9.90, min=0.00, std=0.99
2022-09-14 12:49:35,736 135612 [INFO] Iter=82, max=10.00, avg=9.60, min=0.00, std=1.96
2022-09-14 12:49:43,529 135612 [INFO] Iter=83, max=10.00, avg=9.80, min=0.00, std=1.40
2022-09-14 12:49:54,645 135612 [INFO] Iter=84, max=10.00, avg=9.70, min=0.00, std=1.71
2022-09-14 12:49:56,868 135612 [INFO] Iter=85, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:49:58,272 135612 [INFO] Iter=86, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:50:02,988 135612 [INFO] Iter=87, max=10.00, avg=9.90, min=0.00, std=0.99
2022-09-14 12:50:18,612 135612 [INFO] Iter=88, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:50:25,885 135612 [INFO] Iter=89, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:50:31,560 135612 [INFO] Iter=90, max=10.00, avg=9.90, min=0.00, std=0.99
2022-09-14 12:50:36,974 135612 [INFO] Iter=91, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:50:43,561 135612 [INFO] Iter=92, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:50:46,685 135612 [INFO] Iter=93, max=10.00, avg=10.00, min=10.00, std=0.00
2022-09-14 12:50:53,008 135612 [INFO] Iter=94, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:50:58,220 135612 [INFO] Iter=95, max=10.00, avg=9.90, min=0.00, std=0.99
2022-09-14 12:51:12,159 135612 [INFO] Iter=96, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:51:15,278 135612 [INFO] Iter=97, max=10.00, avg=10.00, min=10.00, std=0.00
2022-09-14 12:51:21,684 135612 [INFO] Iter=98, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:51:24,735 135612 [INFO] Iter=99, max=10.00, avg=10.00, min=10.00, std=0.00
2022-09-14 12:51:33,398 135612 [INFO] Iter=100, max=10.00, avg=0.10, min=0.00, std=0.99
2022-09-14 12:51:40,348 135612 [INFO] Iter=101, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:51:43,738 135612 [INFO] Iter=102, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:51:54,008 135612 [INFO] Iter=103, max=10.00, avg=9.60, min=0.00, std=1.96
2022-09-14 12:52:10,184 135612 [INFO] Iter=104, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:52:16,538 135612 [INFO] Iter=105, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:52:22,757 135612 [INFO] Iter=106, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:52:30,331 135612 [INFO] Iter=107, max=10.00, avg=9.80, min=0.00, std=1.40
2022-09-14 12:52:36,871 135612 [INFO] Iter=108, max=10.00, avg=9.80, min=0.00, std=1.40
2022-09-14 12:52:44,433 135612 [INFO] Iter=109, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:52:50,979 135612 [INFO] Iter=110, max=10.00, avg=9.80, min=0.00, std=1.40
2022-09-14 12:52:56,123 135612 [INFO] Iter=111, max=10.00, avg=10.00, min=10.00, std=0.00
2022-09-14 12:53:08,742 135612 [INFO] Iter=112, max=10.00, avg=10.00, min=10.00, std=0.00
2022-09-14 12:53:11,455 135612 [INFO] Iter=113, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:53:15,662 135612 [INFO] Iter=114, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:53:20,194 135612 [INFO] Iter=115, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:53:23,330 135612 [INFO] Iter=116, max=10.00, avg=10.00, min=10.00, std=0.00
2022-09-14 12:53:31,552 135612 [INFO] Iter=117, max=10.00, avg=9.40, min=0.00, std=2.37
2022-09-14 12:53:35,429 135612 [INFO] Iter=118, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:53:43,710 135612 [INFO] Iter=119, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:53:58,751 135612 [INFO] Iter=120, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:54:03,276 135612 [INFO] Iter=121, max=10.00, avg=9.90, min=0.00, std=0.99
2022-09-14 12:54:14,935 135612 [INFO] Iter=122, max=10.00, avg=9.60, min=0.00, std=1.96
2022-09-14 12:54:18,982 135612 [INFO] Iter=123, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:54:34,735 135612 [INFO] Iter=124, max=10.00, avg=0.20, min=0.00, std=1.40
2022-09-14 12:54:42,272 135612 [INFO] Iter=125, max=10.00, avg=0.50, min=0.00, std=2.18
2022-09-14 12:55:07,772 135612 [INFO] Iter=126, max=10.00, avg=8.80, min=0.00, std=3.25
2022-09-14 12:55:19,886 135612 [INFO] Iter=127, max=10.00, avg=8.50, min=0.00, std=3.57
2022-09-14 12:55:41,156 135612 [INFO] Iter=128, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:55:51,349 135612 [INFO] Iter=129, max=10.00, avg=0.50, min=0.00, std=2.18
2022-09-14 12:56:29,288 135612 [INFO] Iter=130, max=10.00, avg=8.20, min=0.00, std=3.84
2022-09-14 12:56:46,600 135612 [INFO] Iter=131, max=10.00, avg=0.40, min=0.00, std=1.96
2022-09-14 12:56:57,142 135612 [INFO] Iter=132, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:57:15,782 135612 [INFO] Iter=133, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:57:50,199 135612 [INFO] Iter=134, max=10.00, avg=0.30, min=0.00, std=1.71
2022-09-14 12:58:18,262 135612 [INFO] Iter=135, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:58:49,886 135612 [INFO] Iter=136, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:59:19,181 135612 [INFO] Iter=137, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:59:43,344 135612 [INFO] Iter=138, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 13:00:16,020 135612 [INFO] Iter=139, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 13:00:39,421 135612 [INFO] Iter=140, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 13:01:09,638 135612 [INFO] Iter=141, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 13:01:48,579 135612 [INFO] Iter=142, max=10.00, avg=6.30, min=0.00, std=4.83
2022-09-14 13:02:01,241 135612 [INFO] Iter=143, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 13:02:35,846 135612 [INFO] Iter=144, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 13:02:55,713 135612 [INFO] Iter=145, max=10.00, avg=0.10, min=0.00, std=0.99
2022-09-14 13:03:15,963 135612 [INFO] Iter=146, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 13:03:43,785 135612 [INFO] Iter=147, max=10.00, avg=0.30, min=0.00, std=1.71
2022-09-14 13:04:34,272 135612 [INFO] Iter=148, max=10.00, avg=6.70, min=0.00, std=4.70
2022-09-14 13:04:56,106 135612 [INFO] Iter=149, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 13:05:14,332 135612 [INFO] Iter=150, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 13:05:39,312 135612 [INFO] Iter=151, max=10.00, avg=0.10, min=0.00, std=0.99
2022-09-14 13:06:05,414 135612 [INFO] Iter=152, max=10.00, avg=0.40, min=0.00, std=1.96
2022-09-14 13:06:51,479 135612 [INFO] Iter=153, max=10.00, avg=7.60, min=0.00, std=4.27
2022-09-14 13:06:56,969 135612 [INFO] Iter=154, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 13:07:09,965 135612 [INFO] Iter=155, max=10.00, avg=8.70, min=0.00, std=3.36
2022-09-14 13:07:19,073 135612 [INFO] Iter=156, max=10.00, avg=0.10, min=0.00, std=0.99
2022-09-14 13:07:37,425 135612 [INFO] Iter=157, max=10.00, avg=0.40, min=0.00, std=1.96
